"","County","Total.Irri.Area","Irr.Area.above.TH","Irr.Area.Under.TH","Pct.under.TH.of.Irri.area.abv.TH","Pct.under.TH.of.total.Irr.area","AcreageUnderTh","County_Code","Facility_withdrawal_mg","Method1_Unreported","C_tot"
"1","ACCOMACK",5371,5317,54,1.02,1.01,54.2471,1,4613.681973,47.07,0.01
"2","ALBEMARLE",1456,1288,168,13.04,11.54,168.0224,3,3716.21486,484.8,0.13
"3","ALLEGHANY",8,0,8,Inf,100,8,5,14351.1265,Inf,Inf
"4","AMELIA",374,329,45,13.68,12.03,44.9922,7,117.781,16.11,0.14
"5","APPOMATTOX",105,24,81,337.5,77.14,80.997,11,42.3,142.74,3.37
"6","AUGUSTA",3271,3184,87,2.73,2.66,87.0086,15,4038.266156,110.35,0.03
"7","BATH",19,0,19,Inf,100,19,17,3818.33,Inf,Inf
"8","BEDFORD",93,39,54,138.46,58.06,53.9958,19,6562.0609,9084.25,1.38
"9","BOTETOURT",52,27,25,92.59,48.08,25.0016,23,621.356066,575.4,0.93
"10","BRUNSWICK",1280,1240,40,3.23,3.12,39.936,25,361.79871,11.65,0.03
"11","BUCKINGHAM",16,0,16,Inf,100,16,29,125.099,Inf,Inf
"12","CAMPBELL",290,192,98,51.04,33.79,97.991,31,1786.7911,911.88,0.51
"13","CAROLINE",1959,1934,25,1.29,1.28,25.0752,33,2654.55079,34.42,0.01
"14","CARROLL",1086,1067,19,1.78,1.75,19.005,35,190.4055,3.39,0.02
"15","CHARLES CITY",1435,1424,11,0.77,0.77,11.0495,36,428.065565,3.32,0.01
"16","CHARLOTTE",759,674,85,12.61,11.2,85.008,37,82.747,10.44,0.13
"17","CHESTERFIELD",64,52,12,23.08,18.75,12,41,32729.120098,7552.87,0.23
"18","CLARKE",249,221,28,12.67,11.24,27.9876,43,252.6576,31.99,0.13
"19","CRAIG",10,0,10,Inf,100,10,45,895.4523,Inf,Inf
"20","CULPEPER",641,577,64,11.09,9.98,63.9718,47,998.447221,110.69,0.11
"21","CUMBERLAND",18,0,18,Inf,100,18,49,2.3137,Inf,Inf
"22","DICKENSON",12,0,12,Inf,100,12,51,2145.649,Inf,Inf
"23","DINWIDDIE",1162,1109,53,4.78,4.56,52.9872,53,52.41692,2.5,0.05
"24","FAIRFAX",50,0,50,Inf,100,50,59,32000.095555,Inf,Inf
"25","FAUQUIER",394,187,207,110.7,52.54,207.0076,61,1089.4393,1206.05,1.11
"26","FLOYD",192,59,133,225.42,69.27,132.9984,63,34.472,77.71,2.25
"27","FLUVANNA",144,83,61,73.49,42.36,60.9984,65,326.771,240.15,0.73
"28","FRANKLIN",893,790,103,13.04,11.53,102.9629,67,450.932735,58.77,0.13
"29","FREDERICK",151,72,79,109.72,52.32,79.0032,69,1624.9001,1783.03,1.1
"30","GILES",32,0,32,Inf,100,32,71,24019.4406,Inf,Inf
"31","GLOUCESTER",46,0,46,Inf,100,46,73,475.7657,Inf,Inf
"32","GOOCHLAND",32,0,32,Inf,100,32,75,801.5221,Inf,Inf
"33","GRAYSON",45,0,45,Inf,100,45,77,36.6599,Inf,Inf
"34","GREENE",49,11,38,345.45,77.55,37.9995,79,228.98635,791,3.45
"35","GREENSVILLE",246,237,9,3.8,3.66,9.0036,81,743.817485,28.26,0.04
"36","HALIFAX",2152,1929,223,11.56,10.36,222.9472,83,675.589,78.08,0.12
"37","HANOVER",3338,3091,247,7.99,7.4,247.012,85,1177.758605,94.12,0.08
"38","HENRICO",7,0,7,Inf,100,7,87,9648.404868,Inf,Inf
"39","HENRY",137,97,40,41.24,29.2,40.004,89,1209.6859802,498.91,0.41
"40","HIGHLAND",20,11,9,81.82,45,9,91,2577.252,2108.66,0.82
"41","ISLE OF WIGHT",702,689,13,1.89,1.85,12.987,93,4499.247341,84.8,0.02
"42","JAMES CITY",37,22,15,68.18,40.54,14.9998,95,2230.915845,1521.04,0.68
"43","KING AND QUEEN",18,0,18,Inf,100,18,97,250.445,Inf,Inf
"44","KING GEORGE",350,316,34,10.76,9.71,33.985,99,636.7857,68.48,0.11
"45","KING WILLIAM",1125,1109,16,1.44,1.42,15.975,101,7903.222704,113.84,0.01
"46","LEE",61,0,61,Inf,100,61,105,800.624,Inf,Inf
