"","County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","Vol_Unreported","C_tot","Method1_Unreported"
"1","ACCOMACK",1,5079,58,3309.034629,325.98,182,11.24,0.0033967610678637,11.24
"2","ALBEMARLE",3,783,113,4644.929236,250.08,258,31.05,0.00668470894224835,31.05
"3","AMELIA",7,205,19,59.993342,297.94,210,4.25,0.0708411943445324,4.25
"4","AMHERST",9,176,23,6120.38967,264.25,244,5.98,0.000977061971938137,5.98
"5","APPOMATTOX",11,24,24,6.5,262.29,246,6.29,0.967692307692308,6.29
"6","AUGUSTA",15,2550,199,3502.974242,267.19,241,51.07,0.0145790395452186,51.07
"7","BEDFORD",19,51,51,6874.71608,283.18,225,12.22,0.00177752795283438,12.22
"8","BLAND",21,801,4,68.0126,256.15,252,1.07,0.0157323790003617,1.07
"9","BOTETOURT",23,10,10,532.332318,242.11,266,2.83,0.00531622804835982,2.83
"10","BRUNSWICK",25,2115,6,588.313208,333.93,174,1.11,0.00188675009315786,1.11
"11","BUCKINGHAM",29,65,19,121.18,239.07,269,5.44,0.0448918963525334,5.44
"12","CAMPBELL",31,313,40,2235.73299,224.4,284,12.1,0.0054120952967644,12.1
"13","CAROLINE",33,3411,19,1675.265776,337.88,170,3.44,0.00205340552483178,3.44
"14","CARROLL",35,597,16,182.032738,280.39,228,3.88,0.0213148472227012,3.88
"15","CHARLES CITY",36,1376,15,389.420783,339.03,169,2.7,0.0069333741748447,2.7
"16","CHARLOTTE",37,534,94,97.947,268.04,240,24.02,0.245234667728465,24.02
"17","CHESTERFIELD",41,75,28,36089.345705,317.01,191,5.69,0.000157664260430515,5.69
"18","CLARKE",43,143,34,237.3854,270.91,237,8.58,0.0361437561029448,8.58
"19","CRAIG",45,115,19,1247.68603,243.33,265,5.36,0.00429595256428414,5.36
"20","CULPEPER",47,615,167,1074.750702004,255.33,253,44.99,0.0418608705405922,44.99
"21","CUMBERLAND",49,167,23,5.11825,219.8,288,7.05,1.37742392419284,7.05
"22","DINWIDDIE",53,1578,27,156.484435,323.25,185,5.32,0.0339969914579683,5.32
"23","ESSEX",57,3,3,440.214291,304.12,204,0.65,0.00147655360875143,0.65
"24","FAIRFAX",59,60,60,32642.405236,299.07,209,13.35,0.000408977215480335,13.35
"25","FAUQUIER",61,452,217,1176.654377,289.97,218,50.37,0.0428078125442608,50.37
"26","FLOYD",63,182,122,79.81044,240.31,268,34.82,0.436283774403449,34.82
"27","FLUVANNA",65,79,18,311.791356,217.59,290,5.56,0.0178324379204406,5.56
"28","FRANKLIN",67,441,107,448.80891,413.52,94,10.71,0.0238631626096728,10.71
"29","FREDERICK",69,38,15,1937.0207301,269.65,238,3.8,0.00196177559741646,3.8
"30","GILES",71,27,27,25126.104,294.61,213,6.12,0.000243571386952788,6.12
"31","GLOUCESTER",73,13,13,486.601524,282.46,226,3.13,0.00643236785259226,3.13
"32","GOOCHLAND",75,112,20,732.627878,245.12,263,5.6,0.00764371677376983,5.6
"33","GRAYSON",77,160,21,74.95833,287.67,220,4.92,0.0656364676214105,4.92
"34","GREENE",79,24,24,229.48745,314.34,194,4.96,0.0216133823440018,4.96
"35","GREENSVILLE",81,5,5,729.41545,332.42,176,0.94,0.00128870316635053,0.94
"36","HALIFAX",83,1061,52,730.0528,306.49,202,11.19,0.015327658492646,11.19
"37","HANOVER",85,3569,179,1365.921879,302.35,206,39.27,0.0287498140294449,39.27
"38","HENRICO",87,28,28,9402.4814,309.16,199,5.93,0.000630684576520407,5.93
"39","HENRY",89,43,14,1227.356,268.15,240,3.58,0.00291683912410091,3.58
"40","ISLE OF WIGHT",93,934,37,7678.510562,395.49,113,4.45,0.000579539477619853,4.45
"41","JAMES CITY",95,40,27,3185.0885721,273.6,234,6.73,0.00211297106741454,6.73
"42","KING AND QUEEN",97,1221,37,423.2449,297.21,211,8.31,0.0196340227608177,8.31
"43","KING WILLIAM",101,1618,17,7126.21459,296.25,212,3.84,0.00053885551038395,3.84
"44","LANCASTER",103,12,12,177.555194,342.73,165,2.11,0.0118836287042101,2.11
"45","LEE",105,32,32,870.482,351.04,157,5.35,0.00614602025084953,5.35
"46","LOUDOUN",107,392,242,4344.775718,293.73,214,55.15,0.0126934055011214,55.15
"47","LOUISA",109,215,90,264.1097,246.28,262,25.11,0.0950741301815117,25.11
"48","LUNENBURG",111,1408,15,189.453,306.44,202,3.23,0.0170490834138282,3.23
"49","MADISON",113,80,67,65.750999,296.25,212,15.13,0.23011057216028,15.13
"50","MATHEWS",115,10,10,4.953694,274.9,233,2.48,0.50063649470476,2.48
"51","MECKLENBURG",117,4163,101,717.926693,323.14,185,19.9,0.0277187074864759,19.9
