"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","SM_F_Unreported","All_Irrigation_mg","Large_Farm_unreported","C_irr_lg"
"ACCOMACK",1,9716,17,3444.534,215.86,546,9.88,5649.03,2194.616,0.637130015264764
"AMELIA",7,886,109,42.093,183.52,578,67.09,545.32,436.137,10.3612714703157
"AUGUSTA",15,3416,184,461.554,183.24,579,113.45,2106.15,1531.146,3.31737131516572
"CAROLINE",33,2272,25,960.526,203.9,558,14.85,1350.01,374.634,0.390030046037275
"CHARLES CITY",36,1122,21,268.67,162.91,599,13.39,715.67,433.61,1.61391297874716
"CHESTERFIELD",41,571,35,55,164.69,597,22.25,363,285.75,5.19545454545455
"CLARKE",43,327,94,42.8,257.98,504,50.45,175.5,82.25,1.92172897196262
"CULPEPER",47,589,111,4.11,214.71,547,64.66,343.08,274.31,66.7420924574209
"DINWIDDIE",53,1164,115,14.055,257.98,504,61.72,624.71,548.935,39.0562077552473
"ESSEX",57,246,39,140.34,205.9,556,23.09,145.65,-17.78,-0.126692318654696
"FAIRFAX",59,101,101,14.599,185.45,577,62.06,62.06,-14.599,-1
"FRANKLIN",67,1126,242,11.81,273.46,489,126.01,586.33,448.51,37.9771380186283
"FREDERICK",69,520,159,9,261.41,501,84.83,277.42,183.59,20.3988888888889
"GREENSVILLE",81,734,0,50.8297,268.68,493,0,385.33,334.5003,6.58080413616449
"HALIFAX",83,2617,82,26.816,253.93,508,44.36,1415.67,1344.494,50.1377535799523
"HANOVER",85,2393,278,236.0457,170.63,591,174.95,1506,1095.0043,4.63895042358323
"ISLE OF WIGHT",93,791,5,97.5,246.5,516,2.75,434.63,334.38,3.42953846153846
"KING AND QUEEN",97,743,64,256.91,184.5,578,39.39,457.31,161.01,0.626717527538827
"KING WILLIAM",101,2457,15,143.51,174.97,587,9.38,1535.81,1382.92,9.6364016444847
"LOUDOUN",107,3666,185,36.6,209.01,553,108.94,2158.79,2013.25,55.0068306010929
"LUNENBURG",111,1484,61,10,278.51,483,31.37,763.26,721.89,72.189
"MECKLENBURG",117,4158,236,5.59,244.82,517,129.93,2289.12,2153.6,385.25939177102
"MIDDLESEX",119,651,16,13.4,217.69,544,9.27,377.11,354.44,26.4507462686567
"MONTGOMERY",121,303,41,17,189.56,572,24.97,184.56,142.59,8.38764705882353
"NELSON",125,795,145,192.13,200.79,561,86.62,474.92,196.17,1.02102742934471
"NEW KENT",127,458,15,11.89,167.24,595,9.5,290.19,268.8,22.6072329688814
"NORTHAMPTON",131,9338,44,742.087,204.19,558,26.14,5548.58,4780.353,6.44176895700908
"ORANGE",137,1556,53,0.45,237.63,524,29.57,868.23,838.21,1862.68888888889
"PAGE",139,238,14,34.476,231.87,530,7.9,134.32,91.944,2.66689871214758
"PITTSYLVANIA",143,5606,211,86.068,237,525,117.96,3134.05,2930.022,34.0431054515035
"POWHATAN",145,230,32,0.58,177.67,584,19.9,143.03,122.55,211.293103448276
"PRINCE EDWARD",147,526,46,38.6,192.82,569,27.87,318.71,252.24,6.53471502590673
"PRINCE WILLIAM",153,1173,10,3.4,191.17,571,6.08,713.23,703.75,206.985294117647
"ROANOKE",161,92,82,20.7,255.62,506,44.18,49.57,-15.31,-0.739613526570048
"ROCKINGHAM",165,4355,174,276.896,211.37,551,102.09,2555.25,2176.264,7.859499595516
"SHENANDOAH",171,1110,36,30.277,237.71,524,20.09,619.37,569.003,18.7932423952175
"SOUTHAMPTON",175,2385,0,41,296.08,466,0,1183.5,1142.5,27.8658536585366
"SPOTSYLVANIA",177,346,40,60.56,188.63,573,24.41,211.12,126.15,2.08305812417437
"SURRY",181,1472,30,53.203,239.91,522,16.68,818.22,748.337,14.0656917842979
"SUSSEX",183,1410,16,38.6,297.29,465,7.92,698.18,651.66,16.8823834196891
"WESTMORELAND",193,1474,122,311.381,229.79,532,69.11,835.03,454.539,1.45975187953022
"SUFFOLK CITY",800,1167,109,208.64,262.99,499,57.92,620.1,353.54,1.6944976993865
