"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_Total_mg","PPT","Irrigation","SM_F_Unreported","Facility_withdrawal_mg","All_Irrigation","Large_Farm_unreported","C_tot_lg"
"ACCOMACK",1,6508,49,3324.218319,254.2,508,26.51,1779.744198,3520.5,1714.2458,0.515683879786717
"ALBEMARLE",3,1026,70,3966.777343,310.72,451,33.62,0,492.74,459.12,0.115741308447823
"AMELIA",7,562,38,15.681,245.76,516,20.88,15.681,308.8,272.239,17.3610739111026
"AMHERST",9,147,27,5940.585,216.57,545,15.67,0,85.31,69.64,0.0117227512105289
"APPOMATTOX",11,43,43,97.49015,246.72,515,23.58,0,23.58,0,0
"AUGUSTA",15,3813,195,4114.81766,263.68,498,103.41,592.1592,2022.04,1326.4708,0.322364417965485
"BATH",17,7,7,4446.422228,206.39,556,4.14,0,4.14,0,0
"BEDFORD",19,567,41,6611.067713,227.42,535,23.36,11.9226,323.02,287.7374,0.043523589908812
"BLAND",21,10,10,57.531,227.8,534,5.69,0,5.69,0,0
"BOTETOURT",23,63,25,659.376353,238.53,523,13.92,0,35.09,21.17,0.0321060952575592
"BRUNSWICK",25,1316,26,931.0598,200.65,561,15.53,0,786.16,770.63,0.827691196634201
"BUCKINGHAM",29,39,26,161.28066,272.59,489,13.54,0,20.31,6.77,0.0419765147290444
"CAMPBELL",31,779,107,2235.9818,242.45,520,59.25,59.51,431.35,312.59,0.13979988566991
"CAROLINE",33,2112,79,2399.616658,221.7,540,45.43,541.364,1214.45,627.656,0.261565112038825
"CARROLL",35,600,31,163.0234,257.15,505,16.67,0,322.65,305.98,1.87690846835485
"CHARLES CITY",36,739,12,45.210129,310.18,452,5.78,11.9,355.69,338.01,7.47642193190822
"CHARLOTTE",37,731,136,119.47302,231.06,531,76.9,23.2,413.34,313.24,2.62184717520324
"CHESTERFIELD",41,185,46,33392.7401,254.63,507,24.83,37.9,99.88,37.15,0.00111251726838673
"CLARKE",43,514,60,258.64086,191.58,570,36.42,44,311.98,231.56,0.895295507446117
"CRAIG",45,6,6,32.0455,239.52,522,3.34,0,3.34,0,0
"CULPEPER",47,1266,67,1255.77563,212.79,549,39.17,410.727,740.12,290.223,0.2311105527665
"DINWIDDIE",53,1885,25,156.3327,266.9,495,13.18,97.3087,993.6,883.1113,5.64892245832126
"FAIRFAX",59,40,40,34091.9674,202.2,560,23.85,17.4,23.85,-17.4,-0.000510384155770371
"FAUQUIER",61,920,160,1254.3955,206.09,556,94.73,0,544.7,449.97,0.358714615924563
"FLOYD",63,108,108,22.396,205.91,556,63.94,0,63.94,0,0
"FLUVANNA",65,264,30,346.654785,285.7,476,15.21,0,133.81,118.6,0.342127110693135
"FRANKLIN",67,872,140,492.8103,249.5,512,76.33,0,475.42,399.09,0.809824794652222
"FREDERICK",69,298,101,2243.941828,202.47,560,60.23,13.534,177.7,103.936,0.0463184912830993
"GILES",71,30,13,22192.279055,246.32,516,7.14,0,16.48,9.34,0.000420867094220125
"GLOUCESTER",73,58,58,507.53728,265.47,497,30.7,0,30.7,0,0
"GOOCHLAND",75,20,20,949.7262,287.78,474,10.09,0,10.09,0,0
"GRAYSON",77,97,37,50.13227,260.92,501,19.74,0,51.75,32.01,0.638510883309294
"GREENE",79,154,47,248.5711,291.39,471,23.57,0,77.24,53.67,0.215914078507115
"HALIFAX",83,1549,123,698.41449,215.03,547,71.65,9.12,902.26,821.49,1.17622130090686
"HANOVER",85,3188,116,1033.164889,272.89,489,60.4,274.1886,1660.05,1325.4614,1.28291370923659
"HENRICO",87,25,25,11258.71137,293.27,469,12.49,0,12.49,0,0
"HENRY",89,525,6,1111.62384,240.14,522,3.34,0,291.83,288.49,0.259521242365583
"ISLE OF WIGHT",93,702,44,15366.273684,255.19,507,23.75,123,379,232.25,0.0151142693912727
"JAMES CITY",95,29,16,5613.277391,298.49,464,7.91,0,14.33,6.42,0.00114371686143526
"KING AND QUEEN",97,16,16,298.32,250.93,511,8.71,293.42,8.71,-293.42,-0.983574684902119
"KING GEORGE",99,672,21,1242.0798,187.45,575,12.86,175.802,411.46,222.798,0.179374948372882
"KING WILLIAM",101,2690,0,7165.26171,247.95,514,0,702.694,1472.34,769.646,0.107413522513192
"LEE",105,297,43,766.738,230.55,531,24.31,0,167.94,143.63,0.187326048793721
"LOUDOUN",107,3533,142,2538.796988,177.57,584,88.31,32.6308,2197.1,2076.1592,0.817772830916877
"LOUISA",109,279,54,196.042254,278.76,483,27.77,0,143.5,115.73,0.590331918954574
"LUNENBURG",111,770,35,216.203,206.45,556,20.72,8.66,455.89,426.51,1.97272933308048
"MADISON",113,69,39,105.548,289.26,473,19.64,0,34.75,15.11,0.143157615492477
"MATHEWS",115,53,19,5.9702,252.32,510,10.32,0,28.78,18.46,3.0920237177984
"MECKLENBURG",117,3235,60,713.222,191.51,570,36.42,7.17,1963.55,1919.96,2.69195285619344
"MIDDLESEX",119,480,0,160.215729,266.65,495,0,90.576,253.01,162.434,1.01384552574111
"MONTGOMERY",121,384,38,8688.827583,203.37,559,22.62,46.54,228.58,159.42,0.0183476997877033
"NELSON",125,774,97,1060.2098,271.92,490,50.61,468.463,403.86,-115.213,-0.108670000975279
"NEW KENT",127,495,7,10425.07855,290.31,472,3.52,138.01,248.79,107.26,0.0102886514941415
"NORTHAMPTON",131,9286,48,1183.685862,238.36,524,26.78,907.219324,5181.48,4247.48068,3.58835128166801
"NORTHUMBERLAND",133,62,1,987.23769,226.46,536,0.57,0,35.39,34.82,0.0352701283112479
"NOTTOWAY",135,386,32,464.577845,243.11,519,17.69,0,213.33,195.64,0.421113494983817
"ORANGE",137,627,39,719.1761,258.99,503,20.89,70,335.84,244.95,0.340598081610332
"PAGE",139,296,47,605.794184,291.6,470,23.52,12.17,148.14,112.45,0.185624099685975
"PATRICK",141,432,22,285.815066,276.37,486,11.39,1,223.57,211.18,0.738869377865476
"PITTSYLVANIA",143,4187,64,1073.054393,217.54,544,37.07,65.3438,2425.47,2323.0562,2.16490069390173
"POWHATAN",145,28,2,50.1273,242.05,520,1.11,3.3,15.5,11.09,0.221236731282156
"PRINCE EDWARD",147,123,60,30.883163,221.93,540,34.5,0,70.73,36.23,1.17313113297365
