"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_All_Withdrawl_mg","PPT","Irrigation","SM_F_Unreported","Facility_withdrawal_mg","All_Irrigation_mg","Large_Farm_unreported","C_Tot_area_lg"
"ACCOMACK",1,5079,58,3309.034629,325.98,182,11.24,1673.84777,984.34,-700.74777,-0.211768037680454
"ALBEMARLE",3,783,113,4644.929236,250.08,258,31.05,0,215.12,184.07,0.0396281602254317
"AMELIA",7,205,19,59.993342,297.94,210,4.25,9.343,45.84,32.247,0.537509645653679
"AMHERST",9,176,23,6120.38967,264.25,244,5.98,0,45.73,39.75,0.00649468451246504
"APPOMATTOX",11,24,24,6.5,262.29,246,6.29,0,6.29,0,0
"AUGUSTA",15,2550,199,3502.974242,267.19,241,51.07,175.66,654.41,427.68,0.122090535200687
"BEDFORD",19,51,51,6874.71608,283.18,225,12.22,16.15,12.22,-16.15,-0.00234918792457244
"BLAND",21,801,4,68.0126,256.15,252,1.07,0,214.94,213.87,3.14456438953959
"BOTETOURT",23,10,10,532.332318,242.11,266,2.83,0,2.83,0,0
"BRUNSWICK",25,2115,6,588.313208,333.93,174,1.11,0,391.88,390.77,0.664221021534502
"BUCKINGHAM",29,65,19,121.18,239.07,269,5.44,0,18.62,13.18,0.108763822412939
"CAMPBELL",31,313,40,2235.73299,224.4,284,12.1,121.59,94.66,-39.03,-0.017457361936588
"CAROLINE",33,3411,19,1675.265776,337.88,170,3.44,543.92,617.48,70.12,0.0418560451747687
"CARROLL",35,597,16,182.032738,280.39,228,3.88,0,144.94,141.06,0.774915553926349
"CHARLES CITY",36,1376,15,389.420783,339.03,169,2.7,344.0851,247.63,-99.1551,-0.254622003571905
"CHARLOTTE",37,534,94,97.947,268.04,240,24.02,15.35,136.47,97.1,0.991352466129641
"CHESTERFIELD",41,75,28,36089.345705,317.01,191,5.69,0,15.25,9.56,0.000264898124730355
"CLARKE",43,143,34,237.3854,270.91,237,8.58,16.56,36.09,10.95,0.0461275209006114
"CRAIG",45,115,19,1247.68603,243.33,265,5.36,0,32.45,27.09,0.021712193090757
"CULPEPER",47,615,167,1074.750702004,255.33,253,44.99,81.2651,165.69,39.4349,0.036692137001138
"CUMBERLAND",49,167,23,5.11825,219.8,288,7.05,0,51.22,44.17,8.62990279880819
"DINWIDDIE",53,1578,27,156.484435,323.25,185,5.32,31.129,310.87,274.421,1.7536632317457
"ESSEX",57,3,3,440.214291,304.12,204,0.65,340.34,0.65,-340.34,-0.773123469542246
"FAIRFAX",59,60,60,32642.405236,299.07,209,13.35,0,13.35,0,0
"FAUQUIER",61,452,217,1176.654377,289.97,218,50.37,0,104.93,54.56,0.0463687562520324
"FLOYD",63,182,122,79.81044,240.31,268,34.82,31.672,51.94,-14.552,-0.18233203575873
"FLUVANNA",65,79,18,311.791356,217.59,290,5.56,0,24.4,18.84,0.0604250234570326
"FRANKLIN",67,441,107,448.80891,413.52,94,10.71,0,44.14,33.43,0.0744860435145996
"FREDERICK",69,38,15,1937.0207301,269.65,238,3.8,0,9.63,5.83,0.00300977677182578
"GILES",71,27,27,25126.104,294.61,213,6.12,0,6.12,0,0
"GLOUCESTER",73,13,13,486.601524,282.46,226,3.13,0,3.13,0,0
"GOOCHLAND",75,112,20,732.627878,245.12,263,5.6,0,31.37,25.77,0.0351747466535801
"GRAYSON",77,160,21,74.95833,287.67,220,4.92,0,37.48,32.56,0.434374671901042
"GREENE",79,24,24,229.48745,314.34,194,4.96,0,4.96,0,0
"GREENSVILLE",81,5,5,729.41545,332.42,176,0.94,48.91836,0.94,-48.91836,-0.0670651547071014
"HALIFAX",83,1061,52,730.0528,306.49,202,11.19,0,228.22,217.03,0.297279867976672
"HANOVER",85,3569,179,1365.921879,302.35,206,39.27,583.82644,782.9,159.80356,0.116993191526439
"HENRICO",87,28,28,9402.4814,309.16,199,5.93,97.14,5.93,-97.14,-0.010331315305766
"HENRY",89,43,14,1227.356,268.15,240,3.58,0,10.99,7.41,0.00603736813116977
"ISLE OF WIGHT",93,934,37,7678.510562,395.49,113,4.45,71.1,112.39,36.84,0.00479780547314952
"JAMES CITY",95,40,27,3185.0885721,273.6,234,6.73,0,9.97,3.24,0.00101724015726941
"KING AND QUEEN",97,1221,37,423.2449,297.21,211,8.31,418.6888,274.34,-152.6588,-0.360686685179195
"KING WILLIAM",101,1618,17,7126.21459,296.25,212,3.84,285.391,365.26,76.029,0.0106689181247347
"LANCASTER",103,12,12,177.555194,342.73,165,2.11,0,2.11,0,0
"LEE",105,32,32,870.482,351.04,157,5.35,0,5.35,0,0
"LOUDOUN",107,392,242,4344.775718,293.73,214,55.15,0,89.33,34.18,0.00786691931148378
"LOUISA",109,215,90,264.1097,246.28,262,25.11,0,59.98,34.87,0.132028471502561
"LUNENBURG",111,1408,15,189.453,306.44,202,3.23,0,302.86,299.63,1.58155320844748
"MADISON",113,80,67,65.750999,296.25,212,15.13,0,18.06,2.93,0.0445620605703649
"MATHEWS",115,10,10,4.953694,274.9,233,2.48,0,2.48,0,0
"MECKLENBURG",117,4163,101,717.926693,323.14,185,19.9,0,820.11,800.21,1.11461240792728
"MIDDLESEX",119,270,26,92.475447,318.98,189,5.23,22.39,54.34,26.72,0.288941560888048
"MONTGOMERY",121,323,36,9659.7504,261.1,247,9.47,42.2739,84.96,33.2161,0.00343860851725527
"NELSON",125,1016,66,1035.72252,249.6,258,18.13,474.32,279.13,-213.32,-0.205962500458134
"NEW KENT",127,271,18,6832.186418,303.81,204,3.91,24.19,58.87,30.77,0.0045036827330902
"NORTHAMPTON",131,5857,8,883.160583,286.89,221,1.88,529.24973,1378.36,847.23027,0.959316217580784
"NOTTOWAY",135,44,44,392.2,271.51,236,11.06,0,11.06,0,0
"ORANGE",137,214,39,638.69024,279.31,229,9.51,0,52.18,42.67,0.066808598797439
"PAGE",139,108,20,658.17335,252.41,256,5.45,25.55,29.44,-1.56,-0.00237019624085357
"PATRICK",141,213,77,232.381726,315.62,192,15.74,0,43.55,27.81,0.119673781922078
"PITTSYLVANIA",143,1492,78,929.003341,314.63,193,16.03,0,306.63,290.6,0.31280834758591
"POWHATAN",145,63,16,69.956393,278.17,230,3.92,4.3,15.43,7.21,0.103064204582418
"PRINCE EDWARD",147,14,14,428.133855,257.96,250,3.73,0,3.73,0,0
"PRINCE WILLIAM",153,943,34,25403.4781039,298.57,209,7.57,14.541,209.87,187.759,0.00739107453050591
"PULASKI",155,28,28,1598.12,232.42,276,8.23,0,8.23,0,0
"RAPPAHANNOCK",157,61,61,12.237,286.95,221,14.36,0,14.36,0,0
"RICHMOND",159,29,16,102.71097,293.6,214,3.65,0,6.61,2.96,0.0288187327994274
"ROANOKE",161,71,71,4181.9055,286.85,221,16.71,0.75,16.71,-0.75,-0.000179344081304563
"ROCKBRIDGE",163,83,40,670.42992,263.72,244,10.39,0,21.57,11.18,0.016675866733394
"ROCKINGHAM",165,5526,282,8875.608445,275.33,233,69.97,254.245,1371.07,1046.855,0.117947406815781
"SCOTT",169,13,13,415.799,317.51,190,2.63,0,2.63,0,0
"SHENANDOAH",171,893,99,2336.51783,260.5,248,26.14,36.38,235.83,173.31,0.0741744821181185
"SMYTH",173,28,28,2062.959199,317.14,191,5.69,0,5.69,0,0
"SOUTHAMPTON",175,1624,14,2809.935864,397.15,111,1.65,138.2595,191.96,52.0505,0.0185237323979007
"SPOTSYLVANIA",177,96,27,4081.041726,323.44,185,5.32,0.146,18.91,13.444,0.00329425693306425
"STAFFORD",179,10,10,4400.723,283.35,225,2.4,0,2.4,0,0
"SURRY",181,929,10,119.07845,337.31,171,1.82,43.719,169.16,123.621,1.03814754054995
"SUSSEX",183,699,15,541.786839,368.46,140,2.24,195.364,104.21,-93.394,-0.172381448343008
"WARREN",187,10,10,3619.16156,242.86,265,2.82,0,2.82,0,0
"WASHINGTON",191,122,51,3971.443,319.35,189,10.26,0,24.55,14.29,0.00359818836629406
"WESTMORELAND",193,882,111,436.639511,327.94,180,21.28,321.7426,169.06,-173.9626,-0.398412410277731
"WISE",195,27,15,2262.56029,349.44,159,2.54,0,4.57,2.03,0.000897213660547361
"WYTHE",197,18,18,2789.952249,244.4,264,5.06,0,5.06,0,0
"YORK",199,11,11,6494.847647,300.68,207,2.42,0,2.42,0,0
"CHESAPEAKE CITY",550,72,57,1982.654924,416.67,91,5.52,0.896212,6.98,0.56379,0.000284361132729318
"SUFFOLK CITY",800,585,60,35939.419179,390.7,117,7.48,111.95,72.88,-46.55,-0.00129523517806876
"VIRGINIA BEACH CITY",810,315,65,10503.862962,430.3,78,5.4,0,26.16,20.76,0.00197641573153646
