"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_All_Withdrawl_mg","PPT","Irrigation","SM_F_Unreported","Facility_withdrawal_mg","All_Irrigation_mg","Large_Farm_unreported","C_Under_TH_lg"
"ACCOMACK",1,9716,17,5389.55086,215.86,546,9.88,3444.534,5649.03,2194.616,0.407198309656549
"ALBEMARLE",3,1387,120,3908.210335,249.55,512,65.43,0,756.21,690.78,0.176750978270979
"ALLEGHANY",5,191,11,21938.65572,220.71,541,6.34,0,110.03,103.69,0.00472636069061756
"AMELIA",7,886,109,42.093,183.52,578,67.09,42.093,545.32,436.137,10.3612714703157
"AMHERST",9,144,36,5863,194.36,568,21.77,0,87.1,65.33,0.011142759679345
"APPOMATTOX",11,508,19,87.302,200.94,561,11.35,0,303.47,292.12,3.34608600032073
"AUGUSTA",15,3416,184,4341.0051,183.24,579,113.45,461.554,2106.15,1531.146,0.352716931846037
"BATH",17,109,0,4118.789482,211.17,551,0,0,63.95,63.95,0.015526406552089
"BEDFORD",19,676,159,4864.389855,241.49,521,88.21,0,375.04,286.83,0.0589652574217861
"BLAND",21,135,21,72.718,266.76,495,11.07,0,71.16,60.09,0.826342858714486
"BOTETOURT",23,253,77,2906.553869,219.1,543,44.52,0,146.29,101.77,0.0350139734499447
"BRUNSWICK",25,1474,126,731.753,280.95,481,64.54,0,754.98,690.44,0.94354242483461
"BUCKINGHAM",29,469,16,459.12,182.8,579,9.86,0,289.16,279.3,0.608337689492943
"CAMPBELL",31,1328,130,2215.3349,231.63,530,73.37,0,749.49,676.12,0.305199904538136
"CAROLINE",33,2272,25,2657.6773,203.9,558,14.85,960.526,1350.01,374.634,0.140962937825446
"CARROLL",35,785,60,168.574,281.67,480,30.67,0,401.24,370.57,2.19826307734289
"CHARLES CITY",36,1122,21,291.196,162.91,599,13.39,268.67,715.67,433.61,1.48906578387066
"CHARLOTTE",37,1454,202,116.545,271.47,491,105.62,0,760.22,654.6,5.61671457376979
"CHESTERFIELD",41,571,35,32908.706117,164.69,597,22.25,55,363,285.75,0.00868311257768919
"CLARKE",43,327,94,259.376083,257.98,504,50.45,42.8,175.5,82.25,0.317107109679037
"CRAIG",45,130,30,862.29,252.17,510,16.29,0,70.6,54.31,0.0629834510431525
"CULPEPER",47,589,111,598.094,214.71,547,64.66,4.11,343.08,274.31,0.458640280624785
"CUMBERLAND",49,222,27,2.622,174.03,588,16.91,0,139,122.09,46.5636918382914
"DINWIDDIE",53,1164,115,102.639,257.98,504,61.72,14.055,624.71,548.935,5.34821071912236
"ESSEX",57,246,39,295.8453,205.9,556,23.09,140.34,145.65,-17.78,-0.060098977404745
"FAIRFAX",59,101,101,31715.8939,185.45,577,62.06,14.599,62.06,-14.599,-0.000460305487401066
"FAUQUIER",61,862,202,917.868,206.7,555,119.38,0,509.44,390.06,0.424963066584738
"FLOYD",63,779,196,59.2953,204.98,557,116.25,0,462.05,345.8,5.83182815501397
"FLUVANNA",65,57,24,264.928204,225.19,537,13.72,0,32.59,18.87,0.0712268445378507
"FRANKLIN",67,1126,242,414.587,273.46,489,126.01,11.81,586.33,448.51,1.08182359794205
"FREDERICK",69,520,159,672.497,261.41,501,84.83,9,277.42,183.59,0.272997500360596
"GILES",71,193,28,24886.2384,252.49,510,15.21,0,104.81,89.6,0.00360038341511668
"GLOUCESTER",73,98,51,445.9206,198.37,564,30.63,0,58.86,28.23,0.0633072345166382
"GOOCHLAND",75,101,23,695.2937,187.49,575,14.08,0,61.84,47.76,0.0686903965906781
"GRAYSON",77,619,77,67.504,287.24,475,38.95,0,313.1,274.15,4.06124081535909
"GREENE",79,36,36,201.205732,279.71,482,18.48,0,18.48,0,0
"GREENSVILLE",81,734,0,647.5772,268.68,493,0,50.8297,385.33,334.5003,0.516541193853026
"HALIFAX",83,2617,82,772.2776,253.93,508,44.36,26.816,1415.67,1344.494,1.74094651974886
"HANOVER",85,2393,278,5914.3517,170.63,591,174.95,236.0457,1506,1095.0043,0.185143588941456
"HENRICO",87,49,49,677.181536,175.58,586,30.58,0,30.58,0,0
"HENRY",89,416,39,1815.299008,230.12,532,22.09,0,235.67,213.58,0.117655548236822
