"Year","County_Code","name","PPT","Irrigation","Median_UnderTh","Unreported_Irrigation_based"
2002,67,"FRANKLIN",273.46,489,123.5,64.31
2002,37,"CHARLOTTE",271.47,491,115,60.13
2002,99,"KING GEORGE",194.17,568,21,12.7
2002,135,"NOTTOWAY",215.41,547,38,22.13
2002,25,"BRUNSWICK",280.95,481,33,16.9
2002,161,"ROANOKE",255.62,506,62,33.41
2002,36,"CHARLES CITY",162.91,599,13.5,8.61
2002,550,"CHESAPEAKE CITY",266.87,495,62.5,32.94
2002,11,"APPOMATTOX",200.94,561,33.5,20.01
2002,73,"GLOUCESTER",198.37,564,48.5,29.13
2002,47,"CULPEPER",214.71,547,89,51.84
2002,105,"LEE",232.23,530,52,29.35
2002,193,"WESTMORELAND",229.79,532,58,32.86
2002,143,"PITTSYLVANIA",237,525,131,73.24
2002,117,"MECKLENBURG",244.82,517,83.5,45.97
2002,121,"MONTGOMERY",189.56,572,37.5,22.84
2002,89,"HENRY",230.12,532,26.5,15.01
2002,93,"ISLE OF WIGHT",246.5,516,25,13.74
2002,169,"SCOTT",281.04,481,53.5,27.4
2002,167,"RUSSELL",327.72,434,28,12.94
2002,59,"FAIRFAX",185.45,577,55,33.79
2002,31,"CAMPBELL",231.63,530,102.5,57.85
2002,157,"RAPPAHANNOCK",222.83,539,58.5,33.58
2002,23,"BOTETOURT",219.1,543,25,14.46
2002,197,"WYTHE",254.55,507,37,19.98
2002,43,"CLARKE",257.98,504,47,25.22
2002,83,"HALIFAX",253.93,508,102.5,55.45
2002,800,"SUFFOLK CITY",262.99,499,65,34.54
2002,113,"MADISON",261.94,500,53,28.22
2002,163,"ROCKBRIDGE",182.33,580,50.5,31.19
2002,810,"VIRGINIA BEACH CITY",228.38,534,47.5,27.01
2002,15,"AUGUSTA",183.24,579,189.5,116.84
2002,45,"CRAIG",252.17,510,14.5,7.87
2002,181,"SURRY",239.91,522,26,14.45
2002,159,"RICHMOND",189.46,573,16,9.76
2002,153,"PRINCE WILLIAM",191.17,571,51.5,31.31
2002,199,"YORK",179.13,583,14,8.69
2002,7,"AMELIA",183.52,578,41.5,25.54
2002,119,"MIDDLESEX",217.69,544,17,9.85
2002,109,"LOUISA",266.05,496,71,37.5
2002,111,"LUNENBURG",278.51,483,34,17.49
2002,115,"MATHEWS",209.99,552,13.5,7.94
2002,191,"WASHINGTON",372.99,389,106,43.91
2002,29,"BUCKINGHAM",182.8,579,17.5,10.79
2002,33,"CAROLINE",203.9,558,25,14.85
2002,53,"DINWIDDIE",257.98,504,40,21.47
2002,141,"PATRICK",230.32,532,57.5,32.57
2002,177,"SPOTSYLVANIA",188.63,573,34.5,21.05
2002,35,"CARROLL",281.67,480,25,12.78
2002,57,"ESSEX",205.9,556,21,12.43
2002,41,"CHESTERFIELD",164.69,597,31.5,20.03
2002,125,"NELSON",200.79,561,81.5,48.69
2002,147,"PRINCE EDWARD",192.82,569,30,18.18
2002,97,"KING AND QUEEN",184.5,578,27.5,16.93
2002,179,"STAFFORD",198.83,563,16.5,9.89
2002,107,"LOUDOUN",209.01,553,210,123.66
2002,71,"GILES",252.49,510,27.5,14.93
2002,1,"ACCOMACK",215.86,546,51.5,29.94
2002,127,"NEW KENT",167.24,595,15,9.5
2002,185,"TAZEWELL",294.61,467,29,14.42
2002,21,"BLAND",266.76,495,10,5.27
2002,91,"HIGHLAND",248.84,513,9,4.92
2002,61,"FAUQUIER",206.7,555,204.5,120.86
2002,69,"FREDERICK",261.41,501,90,48.01
2002,17,"BATH",211.17,551,7,4.11
2002,3,"ALBEMARLE",249.55,512,116.5,63.52
2002,51,"DICKENSON",303.83,458,12,5.85
2002,49,"CUMBERLAND",174.03,588,23,14.4
2002,85,"HANOVER",170.63,591,213,134.05
2002,81,"GREENSVILLE",268.68,493,5,2.62
2002,5,"ALLEGHANY",220.71,541,9.5,5.47
2002,165,"ROCKINGHAM",211.37,551,261.5,153.43
2002,171,"SHENANDOAH",237.71,524,105,58.59
2002,145,"POWHATAN",177.67,584,18,11.19
2002,175,"SOUTHAMPTON",296.08,466,21,10.42
2002,139,"PAGE",231.87,530,19.5,11.01
2002,133,"NORTHUMBERLAND",215.27,547,2,1.16
2002,75,"GOOCHLAND",187.49,575,21.5,13.16
2002,65,"FLUVANNA",225.19,537,27,15.44
2002,95,"JAMES CITY",169.8,592,15.5,9.77
2002,63,"FLOYD",204.98,557,127.5,75.62
2002,149,"PRINCE GEORGE",228.06,534,7,3.98
2002,77,"GRAYSON",287.24,475,41,20.74
2002,131,"NORTHAMPTON",204.19,558,45.5,27.04
2002,137,"ORANGE",237.63,524,45,25.11
2002,79,"GREENE",279.71,482,37,18.99
2002,195,"WISE",308.96,453,11,5.31
2002,183,"SUSSEX",297.29,465,15.5,7.67
2002,87,"HENRICO",175.58,586,26.5,16.54
2002,101,"KING WILLIAM",174.97,587,15.5,9.69
2002,103,"LANCASTER",211.98,550,12,7.03
2002,187,"WARREN",238.84,523,35,19.49
2002,9,"AMHERST",194.36,568,27,16.33
2002,155,"PULASKI",212.68,549,18.5,10.82
2002,19,"BEDFORD",241.49,521,52.5,29.13
2002,173,"SMYTH",315.77,446,33,15.67
2003,67,"FRANKLIN",322.8,439,123.5,57.73
2003,37,"CHARLOTTE",415.76,346,115,42.37
2003,99,"KING GEORGE",346.12,416,21,9.3
2003,135,"NOTTOWAY",440.16,322,38,13.03
2003,25,"BRUNSWICK",424.95,337,33,11.84
2003,161,"ROANOKE",442.56,319,62,21.06
2003,36,"CHARLES CITY",439.57,322,13.5,4.63
2003,550,"CHESAPEAKE CITY",422.84,339,62.5,22.56
2003,11,"APPOMATTOX",465.04,297,33.5,10.59
2003,73,"GLOUCESTER",461.72,300,48.5,15.49
2003,47,"CULPEPER",411.32,351,89,33.27
2003,105,"LEE",368.35,394,52,21.82
2003,193,"WESTMORELAND",383.56,378,58,23.35
2003,143,"PITTSYLVANIA",499.2,263,131,36.69
2003,117,"MECKLENBURG",424.11,338,83.5,30.05
2003,121,"MONTGOMERY",441.4,321,37.5,12.82
2003,89,"HENRY",527.6,234,26.5,6.6
