"","Countycode","GEOID","NAMELSAD","Irrigated_Acreage","Irrigated_Operations","Rank_census_Irr_Acreage","Rank_census_Operations","percet_acreage","status"
"1",131,51131,"Northampton County",9286,60,1,6,13,"High in both datasets"
"2",1,51001,"Accomack County",6508,47,2,11,9,"High in both datasets"
"3",165,51165,"Rockingham County",4808,137,3,1,7,"High in USDA data not in DEQ"
"4",143,51143,"Pittsylvania County",4187,127,4,2,6,"High in USDA data not in DEQ"
"5",15,51015,"Augusta County",3813,94,5,3,5,"High in both datasets"
"6",107,51107,"Loudoun County",3533,76,6,5,5,"High in USDA data not in DEQ"
"7",175,51175,"Southampton County",3507,34,7,17,5,"High in both datasets"
"8",85,51085,"Hanover County",3188,50,9,9,4,"High in both datasets"
"9",101,51101,"King William County",2690,15,10,39,4,"High in both datasets"
"10",117,51117,"Mecklenburg County",3235,81,8,4,4,"High in USDA data not in DEQ"
"11",33,51033,"Caroline County",2111,24,11,27,3,"High in both datasets"
"12",53,51053,"Dinwiddie County",1884,26,12,23,3,"High in USDA data not in DEQ"
"13",25,51025,"Brunswick County",1316,27,16,22,2,"High in USDA data not in DEQ"
"14",47,51047,"Culpeper County",1266,29,17,21,2,"High in both datasets"
"15",83,51083,"Halifax County",1549,59,15,7,2,"High in USDA data not in DEQ"
"16",183,51183,"Sussex County",1644,14,14,46,2,"High in USDA data not in DEQ"
"17",193,51193,"Westmoreland County",1674,24,13,29,2,"High in both datasets"
"18",7,51007,"Amelia County",561,17,33,37,1,"High in USDA data not in DEQ"
"19",19,51019,"Bedford County",567,32,32,19,1,"High in USDA data not in DEQ"
"20",31,51031,"Campbell County",780,42,20,12,1,"High in USDA data not in DEQ"
