"","GEOID","Countycode","NAME","NAMELSAD","F_HydroID","Count","Facility_withdrawal_mg"
"8","51015","15","Augusta","Augusta County",73047,31,592.1592
"20","51037","37","Charlotte","Charlotte County",72227,4,23.2
"26","51051","51","Dickenson","Dickenson County",NA,NA,NA
"27","51053","53","Dinwiddie","Dinwiddie County",72159,36,97.3087
"34","51069","69","Frederick","Frederick County",72724,3,13.534
"36","51073","73","Gloucester","Gloucester County",71910,1,0
"42","51085","85","Hanover","Hanover County",72550,18,274.1886
"49","51099","99","King George","King George County",67681,2,175.802
"61","51125","125","Nelson","Nelson County",72637,7,468.463
"63","51131","131","Northampton","Northampton County",74074,38,882.595554
"66","51137","137","Orange","Orange County",73028,1,70
"70","51145","145","Powhatan","Powhatan County",72982,5,3.3
"72","51149","149","Prince George","Prince George County",74112,2,0
"77","51161","161","Roanoke","Roanoke County",72255,1,0
"85","51177","177","Spotsylvania","Spotsylvania County",71952,2,25.43
"89","51185","185","Tazewell","Tazewell County",NA,NA,NA
"95","51199","199","York","York County",NA,NA,NA
"4","51007","7","Amelia","Amelia County",74094,5,15.681
"9","51017","17","Bath","Bath County",NA,NA,NA
"10","51019","19","Bedford","Bedford County",72431,2,11.9226
"12","51023","23","Botetourt","Botetourt County",NA,NA,NA
"17","51033","33","Caroline","Caroline County",74063,11,541.364
"19","51036","36","Charles City","Charles City County",71936,4,11.9
"21","51041","41","Chesterfield","Chesterfield County",71997,5,37.9
"28","51057","57","Essex","Essex County",72235,5,237.039
"33","51067","67","Franklin","Franklin County",73001,11,0
"41","51083","83","Halifax","Halifax County",72082,15,9.12
"45","51091","91","Highland","Highland County",NA,NA,NA
"47","51095","95","James City","James City County",NA,NA,NA
"53","51107","107","Loudoun","Loudoun County",72870,4,32.6308
"55","51111","111","Lunenburg","Lunenburg County",72088,7,8.66
"62","51127","127","New Kent","New Kent County",73262,5,138.01
"64","51133","133","Northumberland","Northumberland County",NA,NA,NA
"69","51143","143","Pittsylvania","Pittsylvania County",72751,88,65.3438
"76","51159","159","Richmond","Richmond County",NA,NA,NA
"79","51165","165","Rockingham","Rockingham County",74358,34,167.963
"84","51175","175","Southampton","Southampton County",72735,11,259.1787
"86","51179","179","Stafford","Stafford County",NA,NA,NA
"90","51187","187","Warren","Warren County",NA,NA,NA
"31","51063","63","Floyd","Floyd County",72697,1,0
"43","51087","87","Henrico","Henrico County",NA,NA,NA
"3","51005","5","Alleghany","Alleghany County",NA,NA,NA
"15","51029","29","Buckingham","Buckingham County",NA,NA,NA
"44","51089","89","Henry","Henry County",NA,NA,NA
"68","51141","141","Patrick","Patrick County",73760,2,1
"92","51193","193","Westmoreland","Westmoreland County",72918,6,863.926
"40","51081","81","Greensville","Greensville County",72638,3,44.716
"52","51105","105","Lee","Lee County",NA,NA,NA
"93","51195","195","Wise","Wise County",NA,NA,NA
"56","51113","113","Madison","Madison County",NA,NA,NA
"51","51103","103","Lancaster","Lancaster County",NA,NA,NA
"75","51157","157","Rappahannock","Rappahannock County",NA,NA,NA
"2","51003","3","Albemarle","Albemarle County",NA,NA,NA
"16","51031","31","Campbell","Campbell County",73901,3,59.51
"29","51059","59","Fairfax","Fairfax County",73435,4,17.4
"60","51121","121","Montgomery","Montgomery County",73679,3,46.54
"74","51155","155","Pulaski","Pulaski County",NA,NA,NA
"46","51093","93","Isle of Wight","Isle of Wight County",72299,13,123
"82","51171","171","Shenandoah","Shenandoah County",72003,12,29.928
"14","51027","27","Buchanan","Buchanan County",NA,NA,NA
"50","51101","101","King William","King William County",73946,8,702.694
"71","51147","147","Prince Edward","Prince Edward County",71649,1,0
"91","51191","191","Washington","Washington County",NA,NA,NA
"120","51720","720","Norton","Norton city",NA,NA,NA
"123","51740","740","Portsmouth","Portsmouth city",NA,NA,NA
"130","51810","810","Virginia Beach","Virginia Beach city",71922,3,0
"73","51153","153","Prince William","Prince William County",73561,2,2.632
"37","51075","75","Goochland","Goochland County",73000,2,0
"87","51181","181","Surry","Surry County",72669,3,39.699
"39","51079","79","Greene","Greene County",NA,NA,NA
"6","51011","11","Appomattox","Appomattox County",NA,NA,NA
"13","51025","25","Brunswick","Brunswick County",72098,5,0
"22","51043","43","Clarke","Clarke County",73682,2,44
"65","51135","135","Nottoway","Nottoway County",NA,NA,NA
"108","51630","630","Fredericksburg","Fredericksburg city",NA,NA,NA
"25","51049","49","Cumberland","Cumberland County",NA,NA,NA
"116","51685","685","Manassas Park","Manassas Park city",NA,NA,NA
"99","51540","540","Charlottesville","Charlottesville city",NA,NA,NA
"101","51570","570","Colonial Heights","Colonial Heights city",NA,NA,NA
"106","51610","610","Falls Church","Falls Church city",NA,NA,NA
"128","51790","790","Staunton","Staunton city",NA,NA,NA
"132","51830","830","Williamsburg","Williamsburg city",NA,NA,NA
"83","51173","173","Smyth","Smyth County",71674,1,0
"96","51510","510","Alexandria","Alexandria city",NA,NA,NA
"7","51013","13","Arlington","Arlington County",NA,NA,NA
"23","51045","45","Craig","Craig County",NA,NA,NA
"102","51580","580","Covington","Covington city",NA,NA,NA
"105","51600","600","Fairfax","Fairfax city",NA,NA,NA
"94","51197","197","Wythe","Wythe County",NA,NA,NA
"57","51115","115","Mathews","Mathews County",NA,NA,NA
"81","51169","169","Scott","Scott County",NA,NA,NA
"110","51650","650","Hampton","Hampton city",NA,NA,NA
"114","51680","680","Lynchburg","Lynchburg city",NA,NA,NA
"115","51683","683","Manassas","Manassas city",NA,NA,NA
"100","51550","550","Chesapeake","Chesapeake city",71601,4,1.440575
"32","51065","65","Fluvanna","Fluvanna County",NA,NA,NA
"97","51520","520","Bristol","Bristol city",NA,NA,NA
"124","51750","750","Radford","Radford city",NA,NA,NA
"125","51760","760","Richmond","Richmond city",NA,NA,NA
"11","51021","21","Bland","Bland County",NA,NA,NA
"133","51840","840","Winchester","Winchester city",NA,NA,NA
"88","51183","183","Sussex","Sussex County",72185,7,41.22
"103","51590","590","Danville","Danville city",NA,NA,NA
"131","51820","820","Waynesboro","Waynesboro city",NA,NA,NA
"129","51800","800","Suffolk","Suffolk city",66897,6,180.6075
"18","51035","35","Carroll","Carroll County",71678,6,0
"112","51670","670","Hopewell","Hopewell city",NA,NA,NA
"98","51530","530","Buena Vista","Buena Vista city",NA,NA,NA
"35","51071","71","Giles","Giles County",NA,NA,NA
"126","51770","770","Roanoke","Roanoke city",NA,NA,NA
"127","51775","775","Salem","Salem city",NA,NA,NA
"107","51620","620","Franklin","Franklin city",NA,NA,NA
"119","51710","710","Norfolk","Norfolk city",NA,NA,NA
"122","51735","735","Poquoson","Poquoson city",NA,NA,NA
"111","51660","660","Harrisonburg","Harrisonburg city",NA,NA,NA
"109","51640","640","Galax","Galax city",NA,NA,NA
"118","51700","700","Newport News","Newport News city",NA,NA,NA
"38","51077","77","Grayson","Grayson County",NA,NA,NA
"5","51009","9","Amherst","Amherst County",NA,NA,NA
