"","Countycode","GEOID","NAMELSAD","Count","Facility_withdrawal_mg","Irrigated_Acreage","Irrigated_Operations"
"1",1,51001,"Accomack County",51,3465.538315,5370,44
"2",101,51101,"King William County",7,352.326,1125,15
"3",107,51107,"Loudoun County",5,0.4321,580,77
"4",111,51111,"Lunenburg County",1,6.76,444,24
"5",117,51117,"Mecklenburg County",2,0,2760,67
"6",119,51119,"Middlesex County",3,88.8,478,8
"7",121,51121,"Montgomery County",4,65.645,349,24
"8",125,51125,"Nelson County",6,424.98,862,37
"9",131,51131,"Northampton County",46,881.534113,6336,44
"10",137,51137,"Orange County",1,11,564,29
"11",139,51139,"Page County",6,51.94,1004,22
"12",141,51141,"Patrick County",1,0,108,34
"13",143,51143,"Pittsylvania County",28,27.140785,3716,120
"14",145,51145,"Powhatan County",3,4,100,15
"15",147,51147,"Prince Edward County",1,0.05148,96,8
"16",149,51149,"Prince George County",1,0,8,6
"17",15,51015,"Augusta County",30,424.6243,3271,95
"18",153,51153,"Prince William County",4,47.42,1006,27
"19",161,51161,"Roanoke County",2,0,96,14
"20",163,51163,"Rockbridge County",2,0,137,26
"21",165,51165,"Rockingham County",37,578.196,5645,182
"22",167,51167,"Russell County",1,0,12,5
"23",171,51171,"Shenandoah County",10,31.96,719,50
"24",173,51173,"Smyth County",1,0,18,10
"25",175,51175,"Southampton County",10,159.7402,3246,20
"26",177,51177,"Spotsylvania County",2,10.2,58,20
"27",179,51179,"Stafford County",1,0,24,9
"28",181,51181,"Surry County",3,22.35,1237,21
"29",183,51183,"Sussex County",5,71.71,1372,20
"30",19,51019,"Bedford County",2,11.55,94,30
"31",193,51193,"Westmoreland County",5,380.14,1641,26
"32",25,51025,"Brunswick County",1,0,1281,22
"33",31,51031,"Campbell County",2,57.88,291,46
"34",33,51033,"Caroline County",10,792.39,1959,18
"35",35,51035,"Carroll County",4,0,1086,23
"36",36,51036,"Charles City County",8,405.611,1435,10
"37",37,51037,"Charlotte County",2,15.3,760,47
"38",41,51041,"Chesterfield County",3,22.9,64,9
"39",43,51043,"Clarke County",2,46.58,249,17
"40",45,51045,"Craig County",1,0,11,4
"41",47,51047,"Culpeper County",4,93.1449,641,34
"42",53,51053,"Dinwiddie County",21,17.00596,1161,30
"43",550,51550,"Chesapeake city",4,0,283,31
"44",59,51059,"Fairfax County",4,0,50,30
"45",63,51063,"Floyd County",1,21.1,192,36
"46",67,51067,"Franklin County",10,0,893,54
"47",69,51069,"Frederick County",2,0,150,23
"48",7,51007,"Amelia County",5,85.5,375,22
"49",75,51075,"Goochland County",1,0,31,15
"50",800,51800,"Suffolk city",6,133.01,413,28
"51",81,51081,"Greensville County",3,32.252,246,10
"52",810,51810,"Virginia Beach city",2,0,180,27
"53",83,51083,"Halifax County",8,2.139,2152,85
"54",85,51085,"Hanover County",13,560.29,3338,81
"55",93,51093,"Isle of Wight County",7,5.75,702,12
"56",99,51099,"King George County",2,216.35,351,12
