"","source_desc","commodity_desc","prodn_practice_desc","util_practice_desc","unit_desc","short_desc","domain_desc","county_code","county_name","year","Value"
"1","CENSUS","BARLEY","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","BARLEY, IRRIGATED - ACRES HARVESTED","TOTAL",NA,NA,"2002","701"
"2","CENSUS","CORN","IRRIGATED","GRAIN","ACRES","CORN, GRAIN, IRRIGATED - ACRES HARVESTED","TOTAL",NA,NA,"2002","12,953"
"3","CENSUS","CORN","IRRIGATED","SILAGE","ACRES","CORN, SILAGE, IRRIGATED - ACRES HARVESTED","TOTAL",NA,NA,"2002","5,010"
"4","CENSUS","COTTON","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","COTTON, IRRIGATED - ACRES HARVESTED","TOTAL",NA,NA,"2002","830"
"5","CENSUS","COTTON","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","COTTON, UPLAND, IRRIGATED - ACRES HARVESTED","TOTAL",NA,NA,"2002","830"
"6","CENSUS","HAY","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","HAY, ALFALFA, IRRIGATED - ACRES HARVESTED","TOTAL",NA,NA,"2002","2,137"
"7","CENSUS","HAY","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","HAY, IRRIGATED - ACRES HARVESTED","TOTAL",NA,NA,"2002","18,388"
"8","CENSUS","HAY","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","HAY, SMALL GRAIN, IRRIGATED - ACRES HARVESTED","TOTAL",NA,NA,"2002","539"
"9","CENSUS","HAY","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED - ACRES HARVESTED","TOTAL",NA,NA,"2002","13,955"
"10","CENSUS","HAY","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","HAY, WILD, IRRIGATED - ACRES HARVESTED","TOTAL",NA,NA,"2002","1,757"
"11","CENSUS","HAY & HAYLAGE","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","HAY & HAYLAGE, IRRIGATED - ACRES HARVESTED","TOTAL",NA,NA,"2002","19,781"
"12","CENSUS","HAYLAGE","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","HAYLAGE, (EXCL ALFALFA), IRRIGATED - ACRES HARVESTED","TOTAL",NA,NA,"2002","984"
"13","CENSUS","HAYLAGE","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","HAYLAGE, ALFALFA, IRRIGATED - ACRES HARVESTED","TOTAL",NA,NA,"2002","1,108"
"14","CENSUS","HAYLAGE","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","HAYLAGE, IRRIGATED - ACRES HARVESTED","TOTAL",NA,NA,"2002","2,092"
"15","CENSUS","HERBS","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","HERBS, DRY, IRRIGATED - ACRES HARVESTED","TOTAL",NA,NA,"2002","8"
"16","CENSUS","OATS","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","OATS, IRRIGATED - ACRES HARVESTED","TOTAL",NA,NA,"2002","50"
"17","CENSUS","PEANUTS","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","PEANUTS, IRRIGATED - ACRES HARVESTED","TOTAL",NA,NA,"2002","2,403"
"18","CENSUS","SORGHUM","IRRIGATED","SILAGE","ACRES","SORGHUM, SILAGE, IRRIGATED - ACRES HARVESTED","TOTAL",NA,NA,"2002","64"
