"","source_desc","commodity_desc","prodn_practice_desc","util_practice_desc","unit_desc","short_desc","domain_desc","county_code","county_name","year","Value"
"1","CENSUS","BARLEY","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","BARLEY, IRRIGATED - ACRES HARVESTED","TOTAL","015","AUGUSTA","2002","(D)"
"2","CENSUS","BARLEY","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","BARLEY, IRRIGATED - ACRES HARVESTED","TOTAL","003","ALBEMARLE","2002","(D)"
"3","CENSUS","BARLEY","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","BARLEY, IRRIGATED - ACRES HARVESTED","TOTAL","007","AMELIA","2002","(D)"
"4","CENSUS","BARLEY","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","BARLEY, IRRIGATED - ACRES HARVESTED","TOTAL","033","CAROLINE","2002","(D)"
"5","CENSUS","BARLEY","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","BARLEY, IRRIGATED - ACRES HARVESTED","TOTAL","041","CHESTERFIELD","2002","(D)"
"6","CENSUS","BARLEY","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","BARLEY, IRRIGATED - ACRES HARVESTED","TOTAL","065","FLUVANNA","2002","(D)"
"7","CENSUS","BARLEY","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","BARLEY, IRRIGATED - ACRES HARVESTED","TOTAL","085","HANOVER","2002","(D)"
"8","CENSUS","BARLEY","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","BARLEY, IRRIGATED - ACRES HARVESTED","TOTAL","087","HENRICO","2002","(D)"
"9","CENSUS","BARLEY","IRRIGATED","ALL UTILIZATION PRACTICES","ACRES","BARLEY, IRRIGATED - ACRES HARVESTED","TOTAL","131","NORTHAMPTON","2002","(D)"
"10","CENSUS","CORN","IRRIGATED","GRAIN","ACRES","CORN, GRAIN, IRRIGATED - ACRES HARVESTED","TOTAL","047","CULPEPER","2002","(D)"
