"","County","Total.Irri.Area","Irr.Area.above.TH","Irr.Area.Under.TH","Pct.under.TH.of.Irri.area.abv.TH","Pct.under.TH.of.total.Irr.area"
"1","ACCOMACK",5079,5021,58,1.16,1.14
"2","ALBEMARLE",783,670,113,16.87,14.43
"3","AMELIA",205,186,19,10.22,9.27
"4","AMHERST",176,153,23,15.03,13.07
"5","APPOMATTOX",24,0,24,Inf,100
"6","AUGUSTA",2550,2351,199,8.46,7.8
"7","BEDFORD",51,0,51,Inf,100
"8","BRUNSWICK",2115,2109,6,0.28,0.28
"9","BUCHANAN",0,0,0,NA,NA
"10","BUCKINGHAM",65,46,19,41.3,29.23
"11","CAMPBELL",313,273,40,14.65,12.78
"12","CARROLL",597,581,16,2.75,2.68
"13","CHARLES CITY",1376,1361,15,1.1,1.09
"14","CHARLOTTE",534,440,94,21.36,17.6
"15","CHESTERFIELD",75,47,28,59.57,37.33
"16","CLARKE",143,109,34,31.19,23.78
"17","CRAIG",115,96,19,19.79,16.52
"18","CULPEPER",615,448,167,37.28,27.15
"19","CUMBERLAND",167,144,23,15.97,13.77
"20","DINWIDDIE",1578,1551,27,1.74,1.71
"21","ESSEX",3,0,3,Inf,100
"22","FAIRFAX",60,0,60,Inf,100
"23","FAUQUIER",452,235,217,92.34,48.01
"24","FLOYD",182,60,122,203.33,67.03
"25","FRANKLIN",441,334,107,32.04,24.26
"26","FREDERICK",38,23,15,65.22,39.47
"27","GILES",27,0,27,Inf,100
"28","GLOUCESTER",13,0,13,Inf,100
"29","GREENE",24,0,24,Inf,100
"30","GREENSVILLE",5,0,5,Inf,100
"31","HALIFAX",1061,1009,52,5.15,4.9
"32","HANOVER",3569,3390,179,5.28,5.02
"33","HENRICO",28,0,28,Inf,100
"34","HENRY",43,29,14,48.28,32.56
"35","ISLE OF WIGHT",934,897,37,4.12,3.96
"36","JAMES CITY",40,13,27,207.69,67.5
"37","KING AND QUEEN",1221,1184,37,3.12,3.03
"38","KING WILLIAM",1618,1601,17,1.06,1.05
"39","LANCASTER",12,0,12,Inf,100
"40","LEE",32,0,32,Inf,100
"41","LOUDOUN",392,150,242,161.33,61.73
"42","LOUISA",215,125,90,72,41.86
"43","MADISON",80,13,67,515.38,83.75
"44","MATHEWS",10,0,10,Inf,100
"45","MECKLENBURG",4163,4062,101,2.49,2.43
"46","MIDDLESEX",270,244,26,10.66,9.63
"47","MONTGOMERY",323,287,36,12.54,11.15
"48","NELSON",1016,950,66,6.95,6.5
"49","NEW KENT",271,253,18,7.11,6.64
"50","NORTHAMPTON",5857,5849,8,0.14,0.14
"51","NOTTOWAY",44,0,44,Inf,100
"52","ORANGE",214,175,39,22.29,18.22
"53","PAGE",108,88,20,22.73,18.52
"54","PATRICK",213,136,77,56.62,36.15
"55","PITTSYLVANIA",1492,1414,78,5.52,5.23
"56","POWHATAN",63,47,16,34.04,25.4
"57","PRINCE EDWARD",14,0,14,Inf,100
"58","PRINCE GEORGE",0,0,0,NA,NA
"59","PRINCE WILLIAM",943,909,34,3.74,3.61
"60","PULASKI",28,0,28,Inf,100
"61","RAPPAHANNOCK",61,0,61,Inf,100
"62","RICHMOND",29,13,16,123.08,55.17
"63","ROANOKE",71,0,71,Inf,100
"64","ROCKBRIDGE",83,43,40,93.02,48.19
"65","ROCKINGHAM",5526,5244,282,5.38,5.1
"66","SCOTT",13,0,13,Inf,100
"67","SHENANDOAH",893,794,99,12.47,11.09
"68","SMYTH",28,0,28,Inf,100
"69","SPOTSYLVANIA",96,69,27,39.13,28.12
"70","STAFFORD",10,0,10,Inf,100
"71","SURRY",929,919,10,1.09,1.08
"72","TAZEWELL",0,0,0,NA,NA
"73","WARREN",10,0,10,Inf,100
"74","WASHINGTON",122,71,51,71.83,41.8
"75","WESTMORELAND",882,771,111,14.4,12.59
"76","WISE",27,12,15,125,55.56
"77","YORK",11,0,11,Inf,100
"78","CHESAPEAKE CITY",72,15,57,380,79.17
"79","SUFFOLK CITY",585,525,60,11.43,10.26
"80","VIRGINIA BEACH CITY",315,250,65,26,20.63
"81","BOTETOURT",10,0,10,Inf,100
"82","CAROLINE",3411,3392,19,0.56,0.56
"83","FLUVANNA",79,61,18,29.51,22.78
"84","GOOCHLAND",112,92,20,21.74,17.86
"85","GRAYSON",160,139,21,15.11,13.12
"86","HIGHLAND",0,0,0,NA,NA
"87","KING GEORGE",0,0,0,NA,NA
"88","LUNENBURG",1408,1393,15,1.08,1.07
"89","SOUTHAMPTON",1624,1610,14,0.87,0.86
"90","WYTHE",18,0,18,Inf,100
"91","BATH",0,0,0,NA,NA
"92","RUSSELL",0,0,0,NA,NA
"93","SUSSEX",699,684,15,2.19,2.15
"94","BLAND",801,797,4,0.5,0.5
