"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","Vol_Unreported","C_irr","Method1_Unreported"
"ACCOMACK",1,5371,54,3414.518315,315.02,447,25.7,0.01,34.14518315
"AMELIA",7,374,45,85.5,195.37,567,27.17,0.32,27.36
"AUGUSTA",15,3271,87,424.6243,332.94,429,39.74,0.09,38.216187
"BEDFORD",19,93,54,11.55,223.25,539,30.99,2.68,30.954
"CAMPBELL",31,290,98,57.88,256.6,505,52.7,0.91,52.6708
"CAROLINE",33,1959,25,792.39,225.94,536,14.27,0.02,15.8478
"CHARLES CITY",36,1435,11,405.611,300.37,462,5.41,0.01,4.05611
"CHARLOTTE",37,759,85,15.3,272.3,490,44.35,2.9,44.37
"CHESTERFIELD",41,64,12,22.9,240.09,522,6.67,0.29,6.641
"CLARKE",43,249,28,46.58,243.06,519,15.47,0.33,15.3714
"CULPEPER",47,641,64,93.1449,279.19,483,32.92,0.35,32.600715
"DINWIDDIE",53,1162,53,17.00596,251.02,511,28.84,1.7,28.910132
"FLOYD",63,192,133,21.1,216.51,545,77.19,3.66,77.226
"GREENSVILLE",81,246,9,32.252,384.09,378,3.62,0.11,3.54772
"HALIFAX",83,2152,223,2.139,265.24,497,118.02,55.18,118.03002
"HANOVER",85,3338,247,560.29,252.59,509,133.88,0.24,134.4696
"HENRICO",87,7,7,100.69,290.28,472,3.52,0.03,3.0207
"ISLE OF WIGHT",93,702,13,5.75,399.4,363,5.03,0.87,5.0025
"KING AND QUEEN",97,18,18,246.17,236.84,525,10.06,0.04,9.8468
"KING GEORGE",99,350,34,216.35,218.14,544,19.7,0.09,19.4715
"KING WILLIAM",101,1125,16,352.326,236.94,525,8.94,0.03,10.56978
"LOUDOUN",107,580,235,0.4321,223.71,538,134.63,311.57,134.629397
"LUNENBURG",111,444,33,6.76,319.14,443,15.57,2.3,15.548
"MIDDLESEX",119,477,18,88.8,285.59,476,9.12,0.1,8.88
"MONTGOMERY",121,349,37,65.645,217.7,544,21.43,0.33,21.66285
"NELSON",125,862,57,424.98,284.05,478,29.01,0.07,29.7486
"NORTHAMPTON",131,6335,47,881.646009,319.6,442,22.12,0.03,26.44938027
"ORANGE",137,563,51,11,312.69,449,24.38,2.22,24.42
"PAGE",139,1005,19,51.94,286.71,475,9.61,0.19,9.8686
"PITTSYLVANIA",143,3717,184,27.140785,256.64,505,98.95,3.65,99.06386525
"POWHATAN",145,99,20,4,262.98,499,10.63,2.66,10.64
"PRINCE EDWARD",147,96,11,0.05148,232.14,530,6.21,120.63,6.2100324
"PRINCE WILLIAM",153,1006,69,47.42,219.82,542,39.82,0.84,39.8328
"ROCKINGHAM",165,5645,350,578.196,331.01,431,160.63,0.28,161.89488
"SHENANDOAH",171,719,111,31.96,315.7,446,52.72,1.65,52.734
"SOUTHAMPTON",175,3246,28,159.7402,408.28,354,10.55,0.07,11.181814
"SPOTSYLVANIA",177,58,29,10.2,216.38,546,16.86,1.65,16.83
"SURRY",181,1238,65,22.35,351.19,411,28.45,1.27,28.3845
"SUSSEX",183,1371,25,71.71,311.6,450,11.98,0.17,12.1907
"WESTMORELAND",193,1642,2,380.14,234.47,528,1.12,0,0
"SUFFOLK CITY",800,414,62,133.01,418.81,343,22.65,0.17,22.6117
